"filename", "language", "JavaScript", "Database", "Handlebars", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\authentification.js", "JavaScript", 40, 0, 0, 0, 0, 0, 12, 52
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\middlewareSse.js", "JavaScript", 35, 0, 0, 0, 0, 15, 9, 59
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\model\connexion.js", "JavaScript", 99, 0, 0, 0, 0, 11, 15, 125
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\model\methodeServeur.js", "JavaScript", 174, 0, 0, 0, 0, 0, 67, 241
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\model\utilisateur.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 4
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\package-lock.json", "JSON", 0, 0, 0, 4367, 0, 0, 1, 4368
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\package.json", "JSON", 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\css\general.css", "CSS", 0, 0, 0, 0, 73, 0, 19, 92
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\css\normalize.css", "CSS", 0, 0, 0, 0, 146, 159, 74, 379
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\css\style.css", "CSS", 0, 0, 0, 0, 59, 0, 13, 72
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\accept-cookie.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\accueil.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\admin.js", "JavaScript", 331, 0, 0, 0, 0, 19, 107, 457
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\compte.js", "JavaScript", 18, 0, 0, 0, 0, 0, 8, 26
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\connexion.js", "JavaScript", 54, 0, 0, 0, 0, 3, 11, 68
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\cours.js", "JavaScript", 21, 0, 0, 0, 0, 7, 8, 36
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\public\js\inscription.js", "JavaScript", 28, 0, 0, 0, 0, 1, 4, 33
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\server.js", "JavaScript", 264, 0, 0, 0, 0, 19, 57, 340
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\systeme.db", "Database", 0, 76, 0, 0, 0, 0, 2, 78
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\validationAjoutCours.js", "JavaScript", 29, 0, 0, 0, 0, 8, 11, 48
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\validationInscription.js", "JavaScript", 34, 0, 0, 0, 0, 10, 10, 54
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\accueil.handlebars", "Handlebars", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\admin.handlebars", "Handlebars", 0, 0, 162, 0, 0, 2, 14, 178
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\authentification.handlebars", "Handlebars", 0, 0, 53, 0, 0, 3, 2, 58
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\compte.handlebars", "Handlebars", 0, 0, 32, 0, 0, 0, 0, 32
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\cours.handlebars", "Handlebars", 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\layouts\main.handlebars", "Handlebars", 0, 0, 41, 0, 0, 0, 11, 52
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\partials\footer.handlebars", "Handlebars", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\partials\header.handlebars", "Handlebars", 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\Jack\Desktop\Web Serveur\Projet partie 2\partie2\views\partials\inscription.handlebars", "Handlebars", 0, 0, 20, 0, 0, 0, 0, 20
"Total", "-", 1139, 76, 409, 4400, 278, 261, 468, 7031